University,Country,Employment Rate (%),Year of Reporting,Degree Level (UG,PG,PhD),Time Frame (Months),Scope of Employment Rate,Field Specificity
Chalmers Tekniska Högskola,Sweden,95.3,2024,PG,36,University-specific,STEM
University of Gothenburg,Sweden,79,2024,PG,18,University-specific,STM
KTH Royal Institute of Technology,Sweden,97,2018,PG,24,University-specific,All
Norwegian Univ. of Science & Tech. (NTNU),Norway,98,2022,PG,18,University-specific,All
Universitat Politècnica de València (UPV),Spain,90,2023,UG,0,University-specific,CS/IT
Universitat Politècnica de València (UPV),Spain,94.5,2023,UG,36,University-specific,CS/IT
Gdańsk University of Technology,Poland,80,2019,PG,N/A,University-specific,CS/IT
Politecnico di Milano (Polimi),Italy,97,2024,PG,12,University-specific,All
Politecnico di Milano (Polimi),Italy,91,2024,UG,12,University-specific,All
Politechnika Warszawska (Warsaw UT),Poland,73,2020,PG,N/A,University-specific,CS/IT
Rheinisch-Westfälische Technische Hochschule Aachen (RWTH Aachen),Germany,90,2024,PG,12,University-specific,All
Technische Universität Berlin (TU Berlin),Germany,91,2024,PG,12,University-specific,All
Technical University of Munich (TUM),Germany,95,2024,PG,N/A,University-specific,All
ETH Zurich (Swiss Federal Inst. of Technology Zurich),Switzerland,97,2025,PG,12,University-specific,STEM
École Polytechnique Fédérale de Lausanne (EPFL),Switzerland,94,2020,PG,N/A,University-specific,STEM
University of Copenhagen (KU),Denmark,98.3,2022,PG,N/A,National,STEM
University of Helsinki (HY),Finland,89,2019,PG,12,University-specific,All
University of Cambridge,England,95,2022,UG,15,University-specific,CS/IT
University of Oxford,England,93,2022,UG,15,University-specific,All
University of Oxford,England,95,2022,PG,15,University-specific,All
University College London (UCL),England,75,2022,UG,15,University-specific,CS/IT
Institut Polytechnique de Paris (IP Paris) (Data from École Polytechnique),France,100,2019,PG,6,University-specific,Engineering
Riga Technical University (RTU),Latvia,88,2019,PG,12,National,All
University of Tartu (UT),Estonia,87,2019,UG,6,University-specific,All
University of Tartu (UT),Estonia,94,2019,PG,6,University-specific,All
